,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
370,surab,0,pk,1528012353,15,28.24,66.41,99.66,1.14
371,kumluca,0,tr,1528012353,100,34.41,30.26,74.1,7.18
372,lucea,8,jm,1528012353,98,19.14,-78.65,82.56,15.68
373,seoul,0,kr,1528012353,91,37.57,124.70,64.02,8.08
374,namyslow,75,pl,1528011000,77,50.99,17.67,68.0,11.41
375,mpika,0,zm,1528012354,34,-11.17,31.18,75.54,13.78
376,aranos,0,na,1528012354,18,-23.51,19.14,69.6,3.6
377,mehamn,44,no,1528012354,100,75.56,27.68,33.24,7.85
378,tambun,0,id,1528012354,99,-4.72,107.48,85.44,11.99
379,namwala,0,zm,1528012355,47,-15.68,26.44,75.81,9.08
380,kirensk,12,ru,1528012355,56,58.47,107.93,58.89,4.61
381,oltu,20,tr,1528012355,70,40.62,41.46,59.43,1.59
382,pangnirtung,48,ca,1528012355,92,61.10,-61.09,27.39,16.69
383,ponazyrevo,32,ru,1528012355,57,58.68,46.38,56.1,5.73
384,kesennuma,0,jp,1528012356,95,37.83,142.88,64.29,8.75
385,touros,8,br,1528012356,100,2.06,-30.68,81.12,11.77
